track_uri,popularity,danceability,energy,speechiness,instrumentalness,liveness,loudness,tempo,valence
spotify:track:4zGtsXOEpHDfEIZvbn5wnz,42,0.466,0.142,0.106,0.912,"(0.115,)",-17.208,97.448,0.299
spotify:track:5J8oPTjP3pqAG61p2IlksY,27,0.276,0.579,0.0282,0.00269,"(0.118,)",-4.918,76.508,0.146
spotify:track:0axZ1pkds89AVTvko3zg7z,41,0.319,0.753,0.0457,0.0,"(0.0621,)",-4.745,93.806,0.579
spotify:track:3aIwehAR8RzmP7HEqX5zR8,41,0.514,0.00458,0.0545,0.945,"(0.0743,)",-31.894,70.884,0.135
spotify:track:7An9jFpCwjxvSzalvQICBd,48,0.661,0.131,0.0685,5.44e-06,"(0.112,)",-11.632,74.862,0.238
spotify:track:76YNvkC0hNHWVFRXU7IgiQ,0,0.82,0.149,0.0495,0.957,"(0.117,)",-14.613,82.958,0.285
spotify:track:6WYsKS5JmGzlDdPbD4gwhw,0,0.746,0.754,0.067,0.0,"(0.0486,)",-6.681,149.882,0.764
spotify:track:0NuWgxEp51CutD2pJoF4OM,69,0.765,0.663,0.0652,0.000297,"(0.0924,)",-5.223,150.091,0.686
spotify:track:2fPb58e6f8KxejYDCaARwS,57,0.447,0.158,0.036,1.58e-06,"(0.0816,)",-7.571,140.942,0.142
spotify:track:74YrN8gcU3WFnG3Fu99Eqk,0,0.559,0.962,0.106,0.0,"(0.0559,)",-2.725,84.956,0.81
spotify:track:2RTlhFU9bksuYdA8ROVdmj,17,0.476,0.12,0.125,1.95e-06,"(0.137,)",-18.72,85.789,0.286
spotify:track:58ZKw23U9pY7k5ZgS30CAH,35,0.661,0.475,0.0504,0.0127,"(0.112,)",-5.297,170.01,0.343
spotify:track:1RRZSm4akqNyMOsPUhw4cb,61,0.559,0.337,0.404,0.0,"(0.311,)",-9.751,203.231,0.705
spotify:track:6KMDzk8RU7ZOvEIr1tCvRS,16,0.307,0.283,0.0362,0.0,"(0.136,)",-15.163,98.34,0.35
spotify:track:6ggCUjC5j2uhighYnTee8X,50,0.609,0.761,0.034,0.761,"(0.141,)",-7.178,91.823,0.671
spotify:track:6rTPgxS3weamFQtN6xN4KZ,46,0.433,0.185,0.143,0.791,"(0.113,)",-13.175,84.365,0.384
spotify:track:49uFhk5Ka3CHVA1Gg6gvn0,25,0.295,0.135,0.0358,0.0341,"(0.282,)",-15.901,132.833,0.181
spotify:track:3opafmcv7GdeqgSbFXf9AF,18,0.551,0.69,0.186,0.0,"(0.966,)",-8.103,86.869,0.585
spotify:track:07M76e7IXxYdnC1BBiJxEX,59,0.496,0.571,0.0335,0.0,"(0.0332,)",-9.958,150.944,0.25
spotify:track:6JGRktSYyPOqIlUqxuEKQD,33,0.564,0.077,0.0378,0.85,"(0.0781,)",-22.033,116.032,0.0857
spotify:track:6nGeohj2m2R3SJMe09eAex,29,0.49,0.19,0.0298,1.14e-06,"(0.0676,)",-10.699,84.204,0.123
spotify:track:2VMHjC3ALWlCHf59kocX34,19,0.389,0.157,0.0388,0.903,"(0.0897,)",-22.377,101.614,0.294
spotify:track:0aehdLkMY8nYrTGrncpDnY,0,0.542,0.329,0.0299,0.852,"(0.236,)",-13.541,74.994,0.0596
spotify:track:70eFcWOvlMObDhURTqT4Fv,78,0.64,0.647,0.186,0.0,"(0.0801,)",-8.114,92.979,0.546
spotify:track:70khXICDeTTxgYtw3EysKH,68,0.721,0.459,0.032,0.0,"(0.212,)",-6.408,119.914,0.46
spotify:track:63AbhsGQUdQVyA9vn65pUy,0,0.835,0.332,0.146,0.976,"(0.245,)",-17.597,170.027,0.63
spotify:track:2ohegz9maxzroKBu9YhcCM,64,0.394,0.433,0.374,7.81e-05,"(0.817,)",-13.473,118.988,0.394
spotify:track:4KCGYOHGExcKUlFkNajeVO,0,0.757,0.679,0.0864,0.828,"(0.109,)",-9.74,103.016,0.374
spotify:track:4fObHdti4br5jqO5iygxef,0,0.339,0.912,0.0765,0.0,"(0.0483,)",-2.159,148.993,0.458
spotify:track:5qioxs2Zkb3V5WtOoMHT64,0,0.553,0.919,0.045,0.0,"(0.196,)",-3.393,126.224,0.438
spotify:track:3GmKMMegOOLPByBUzRxqCS,61,0.548,0.715,0.0511,2.21e-06,"(0.218,)",-6.798,159.92,0.392
spotify:track:69QFcT6d5s682XOUtyiliA,31,0.524,0.401,0.0369,0.0,"(0.118,)",-9.159,144.849,0.225
spotify:track:5sDWpCph4osurYpWeIhjLt,24,0.649,0.555,0.0463,0.877,"(0.119,)",-9.536,169.958,0.233
spotify:track:2mmuAZDjfYx37w3A29TSUU,22,0.791,0.161,0.137,6.73e-05,"(0.129,)",-16.15,121.9,0.595
spotify:track:6WmLBlA7pfYOhIF3sRIujN,27,0.446,0.444,0.0283,0.0,"(0.131,)",-7.389,139.816,0.169
spotify:track:59Ukt0dd6HDq5zLpnBJqTd,0,0.789,0.613,0.0636,0.0,"(0.0604,)",-6.62,103.858,0.704
spotify:track:6Cg5NtrohBDwOlQdKysbbV,48,0.755,0.323,0.038,0.897,"(0.0794,)",-13.228,127.985,0.0735
spotify:track:4qP2V09IpTct5A1ZSnr1zh,45,0.517,0.484,0.318,0.0075,"(0.129,)",-10.93,141.914,0.42
spotify:track:6wuFNv26eUmtgqURavWAZd,47,0.534,0.404,0.0622,0.657,"(0.148,)",-10.738,130.667,0.125
spotify:track:6klmIXOFAyya2mNJU7WQ8I,50,0.692,0.548,0.0833,0.902,"(0.0869,)",-12.244,169.98,0.524
spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,81,0.812,0.879,0.0397,0.224,"(0.366,)",-10.998,129.991,0.962
spotify:track:1Wdj4wRDYS7aT4CoPS0mAH,76,0.593,0.5,0.029,1.24e-05,"(0.0837,)",-8.532,117.996,0.465
spotify:track:4y1F0A5GeyDN5EdAIggqTB,48,0.631,0.468,0.0429,0.0,"(0.213,)",-7.919,135.814,0.338
